"Id","IsDeleted","ParentId","ParentSobjectType","CreatedById","CreatedDate","FieldName","DataType","OldvalString","NewvalString","OldvalFirstName","NewvalFirstName","OldvalLastName","NewvalLastName","OldvalNumber","NewvalNumber","OldvalDate","NewvalDate"
"017f40000DQWvGdAQL","0","a0Hf400000AqOIsEAN","Affiliation","005f4000003qkvcAAA","2019-04-29 21:16:55","createText","S","","","","","","","","","",""
"017f40000DTwSuOAQV","0","a0Hf400000AqhMeEAJ","Affiliation","005f40000042AhBAAU","2019-05-02 20:18:36","createText","S","","","","","","","","","",""
"017f40000DTwWDsAQN","0","068f4000009Ja2YAAS","ContentVersion","005f40000042AhBAAU","2019-05-02 20:19:23","content_version_updated","S","","","","","","","","","",""
"017f40000DTwWDtAQN","0","068f4000009Ja2YAAS","ContentVersion","005f40000042AhBAAU","2019-05-02 20:19:23","content_version_data_replaced","S","","","","","","","","","",""
"017f40000DTwWDvAQN","0","068f4000009Ja2YAAS","ContentVersion","005f40000042AhBAAU","2019-05-02 20:21:03","content_version_updated","S","","","","","","","","","",""
"017f40000DTwWL8AQN","0","068f4000009Ja2YAAS","ContentVersion","005f40000042AhBAAU","2019-05-02 20:20:02","content_version_updated","S","","","","","","","","","",""
"017f40000DTwWL9AQN","0","068f4000009Ja2YAAS","ContentVersion","005f40000042AhBAAU","2019-05-02 20:20:02","content_version_data_replaced","S","","","","","","","","","",""
"017f40000DTwWRzAQN","0","068f4000009Ja2YAAS","ContentVersion","005f40000042AhBAAU","2019-05-02 20:19:10","createText","S","","","","","","","","","",""
"017f40000DTwWS0AQN","0","069f4000008j0gVAAQ","ContentDocument","005f40000042AhBAAU","2019-05-02 20:19:10","createText","S","","","","","","","","","",""
"017f40000DTwWVrAQN","0","068f4000009Ja2YAAS","ContentVersion","005f40000042AhBAAU","2019-05-02 20:20:15","content_version_updated","S","","","","","","","","","",""
"017f40000DTwWVsAQN","0","068f4000009Ja2YAAS","ContentVersion","005f40000042AhBAAU","2019-05-02 20:20:15","content_version_data_replaced","S","","","","","","","","","",""
"017f40000DTwWVtAQN","0","068f4000009Ja2YAAS","ContentVersion","005f40000042AhBAAU","2019-05-02 20:21:25","content_version_updated","S","","","","","","","","","",""
"017f40000DTwWZ7AQN","0","068f4000009Ja2YAAS","ContentVersion","005f40000042AhBAAU","2019-05-02 20:19:14","content_version_updated","S","","","","","","","","","",""
"017f40000DTwWb9AQF","0","068f4000009Ja2YAAS","ContentVersion","005f40000042AhBAAU","2019-05-02 20:23:53","content_version_updated","S","","","","","","","","","",""
"017f40000DTwWbAAQV","0","068f4000009Ja2YAAS","ContentVersion","005f40000042AhBAAU","2019-05-02 20:23:53","content_version_data_replaced","S","","","","","","","","","",""
"017f40000DTwWfJAQV","0","068f4000009Ja2YAAS","ContentVersion","005f40000042AhBAAU","2019-05-02 20:19:14","content_version_data_replaced","S","","","","","","","","","",""
"017f40000DTwWfKAQV","0","068f4000009Ja2YAAS","ContentVersion","005f40000042AhBAAU","2019-05-02 20:19:18","content_version_updated","S","","","","","","","","","",""
"017f40000DTwWfLAQV","0","068f4000009Ja2YAAS","ContentVersion","005f40000042AhBAAU","2019-05-02 20:19:18","content_version_data_replaced","S","","","","","","","","","",""
"017f40000DTwWfMAQV","0","068f4000009Ja2YAAS","ContentVersion","005f40000042AhBAAU","2019-05-02 20:20:46","content_version_updated","S","","","","","","","","","",""
"017f40000DTwWfNAQV","0","068f4000009Ja2YAAS","ContentVersion","005f40000042AhBAAU","2019-05-02 20:20:46","content_version_data_replaced","S","","","","","","","","","",""
"017f40000DTwXixAQF","0","068f4000009Ja2YAAS","ContentVersion","005f40000042AhBAAU","2019-05-02 20:19:27","content_version_updated","S","","","","","","","","","",""
"017f40000DTwXiyAQF","0","068f4000009Ja2YAAS","ContentVersion","005f40000042AhBAAU","2019-05-02 20:19:27","content_version_data_replaced","S","","","","","","","","","",""
"017f40000DTwXl2AQF","0","068f4000009Ja2YAAS","ContentVersion","005f40000042AhBAAU","2019-05-02 20:19:33","content_version_updated","S","","","","","","","","","",""
"017f40000DTwXl3AQF","0","068f4000009Ja2YAAS","ContentVersion","005f40000042AhBAAU","2019-05-02 20:19:33","content_version_data_replaced","S","","","","","","","","","",""
"017f40000DTwXl5AQF","0","068f4000009JaIeAAK","ContentVersion","005f40000042AhBAAU","2019-05-02 20:30:48","content_version_updated","S","","","","","","","","","",""
"017f40000DTwXmQAQV","0","068f4000009Ja2YAAS","ContentVersion","005f40000042AhBAAU","2019-05-02 20:20:22","content_version_updated","S","","","","","","","","","",""
"017f40000DTwXmbAQF","0","068f4000009Ja2YAAS","ContentVersion","005f40000042AhBAAU","2019-05-02 20:19:38","content_version_updated","S","","","","","","","","","",""
"017f40000DTwXmcAQF","0","068f4000009Ja2YAAS","ContentVersion","005f40000042AhBAAU","2019-05-02 20:19:38","content_version_data_replaced","S","","","","","","","","","",""
"017f40000DTwXmdAQF","0","068f4000009Ja2YAAS","ContentVersion","005f40000042AhBAAU","2019-05-02 20:19:44","content_version_updated","S","","","","","","","","","",""
"017f40000DTwXmeAQF","0","068f4000009Ja2YAAS","ContentVersion","005f40000042AhBAAU","2019-05-02 20:19:44","content_version_data_replaced","S","","","","","","","","","",""
"017f40000DTwXmfAQF","0","068f4000009Ja2YAAS","ContentVersion","005f40000042AhBAAU","2019-05-02 20:20:00","content_version_updated","S","","","","","","","","","",""
"017f40000DTwXq2AQF","0","068f4000009Ja2YAAS","ContentVersion","005f40000042AhBAAU","2019-05-02 20:19:50","content_version_updated","S","","","","","","","","","",""
"017f40000DTwXq3AQF","0","068f4000009Ja2YAAS","ContentVersion","005f40000042AhBAAU","2019-05-02 20:19:50","content_version_data_replaced","S","","","","","","","","","",""
"017f40000DTwXtWAQV","0","068f4000009Ja2YAAS","ContentVersion","005f40000042AhBAAU","2019-05-02 20:20:00","content_version_data_replaced","S","","","","","","","","","",""
"017f40000DTwXyDAQV","0","068f4000009Ja2YAAS","ContentVersion","005f40000042AhBAAU","2019-05-02 20:20:11","content_version_updated","S","","","","","","","","","",""
"017f40000DTwXyEAQV","0","068f4000009Ja2YAAS","ContentVersion","005f40000042AhBAAU","2019-05-02 20:20:11","content_version_data_replaced","S","","","","","","","","","",""
"017f40000DTwY0rAQF","0","068f4000009Ja2YAAS","ContentVersion","005f40000042AhBAAU","2019-05-02 20:20:22","content_version_data_replaced","S","","","","","","","","","",""
"017f40000DTwY0sAQF","0","068f4000009Ja2YAAS","ContentVersion","005f40000042AhBAAU","2019-05-02 20:20:34","content_version_updated","S","","","","","","","","","",""
"017f40000DTwY0tAQF","0","068f4000009Ja2YAAS","ContentVersion","005f40000042AhBAAU","2019-05-02 20:20:34","content_version_data_replaced","S","","","","","","","","","",""
"017f40000DTwY3iAQF","0","068f4000009Ja2YAAS","ContentVersion","005f40000042AhBAAU","2019-05-02 20:20:30","content_version_updated","S","","","","","","","","","",""
"017f40000DTwY3jAQF","0","068f4000009Ja2YAAS","ContentVersion","005f40000042AhBAAU","2019-05-02 20:20:30","content_version_data_replaced","S","","","","","","","","","",""
"017f40000DTwY3kAQF","0","068f4000009Ja2YAAS","ContentVersion","005f40000042AhBAAU","2019-05-02 20:21:17","content_version_updated","S","","","","","","","","","",""
"017f40000DTwY3lAQF","0","068f4000009Ja2YAAS","ContentVersion","005f40000042AhBAAU","2019-05-02 20:21:17","content_version_data_replaced","S","","","","","","","","","",""
"017f40000DTwY3mAQF","0","068f4000009Ja2YAAS","ContentVersion","005f40000042AhBAAU","2019-05-02 20:21:34","content_version_updated","S","","","","","","","","","",""
"017f40000DTwY6TAQV","0","068f4000009Ja2YAAS","ContentVersion","005f40000042AhBAAU","2019-05-02 20:20:49","content_version_updated","S","","","","","","","","","",""
"017f40000DTwY6UAQV","0","068f4000009Ja2YAAS","ContentVersion","005f40000042AhBAAU","2019-05-02 20:20:49","content_version_data_replaced","S","","","","","","","","","",""
"017f40000DTwY6vAQF","0","068f4000009Ja2YAAS","ContentVersion","005f40000042AhBAAU","2019-05-02 20:20:39","content_version_updated","S","","","","","","","","","",""
"017f40000DTwY6wAQF","0","068f4000009Ja2YAAS","ContentVersion","005f40000042AhBAAU","2019-05-02 20:20:39","content_version_data_replaced","S","","","","","","","","","",""
"017f40000DTwY6xAQF","0","068f4000009Ja2YAAS","ContentVersion","005f40000042AhBAAU","2019-05-02 20:21:44","content_version_updated","S","","","","","","","","","",""
"017f40000DTwY6yAQF","0","068f4000009Ja2YAAS","ContentVersion","005f40000042AhBAAU","2019-05-02 20:21:44","content_version_data_replaced","S","","","","","","","","","",""
"017f40000DTwY8EAQV","0","068f4000009Ja2YAAS","ContentVersion","005f40000042AhBAAU","2019-05-02 20:20:53","content_version_updated","S","","","","","","","","","",""
"017f40000DTwY8FAQV","0","068f4000009Ja2YAAS","ContentVersion","005f40000042AhBAAU","2019-05-02 20:20:53","content_version_data_replaced","S","","","","","","","","","",""
"017f40000DTwY8GAQV","0","068f4000009Ja2YAAS","ContentVersion","005f40000042AhBAAU","2019-05-02 20:20:55","content_version_updated","S","","","","","","","","","",""
"017f40000DTwY8HAQV","0","068f4000009Ja2YAAS","ContentVersion","005f40000042AhBAAU","2019-05-02 20:20:55","content_version_data_replaced","S","","","","","","","","","",""
"017f40000DTwYChAQN","0","068f4000009Ja2YAAS","ContentVersion","005f40000042AhBAAU","2019-05-02 20:21:03","content_version_data_replaced","S","","","","","","","","","",""
"017f40000DTwYCiAQN","0","068f4000009Ja2YAAS","ContentVersion","005f40000042AhBAAU","2019-05-02 20:21:19","content_version_updated","S","","","","","","","","","",""
"017f40000DTwYCjAQN","0","068f4000009Ja2YAAS","ContentVersion","005f40000042AhBAAU","2019-05-02 20:21:19","content_version_data_replaced","S","","","","","","","","","",""
"017f40000DTwYCkAQN","0","068f4000009Ja2YAAS","ContentVersion","005f40000042AhBAAU","2019-05-02 20:21:23","content_version_updated","S","","","","","","","","","",""
"017f40000DTwYClAQN","0","068f4000009Ja2YAAS","ContentVersion","005f40000042AhBAAU","2019-05-02 20:21:23","content_version_data_replaced","S","","","","","","","","","",""
"017f40000DTwYDZAQ3","0","068f4000009Ja2YAAS","ContentVersion","005f40000042AhBAAU","2019-05-02 20:21:07","content_version_updated","S","","","","","","","","","",""
"017f40000DTwYDaAQN","0","068f4000009Ja2YAAS","ContentVersion","005f40000042AhBAAU","2019-05-02 20:21:07","content_version_data_replaced","S","","","","","","","","","",""
"017f40000DTwYDbAQN","0","068f4000009Ja2YAAS","ContentVersion","005f40000042AhBAAU","2019-05-02 20:21:14","content_version_updated","S","","","","","","","","","",""
"017f40000DTwYDcAQN","0","068f4000009Ja2YAAS","ContentVersion","005f40000042AhBAAU","2019-05-02 20:21:14","content_version_data_replaced","S","","","","","","","","","",""
"017f40000DTwYIQAQ3","0","068f4000009Ja2YAAS","ContentVersion","005f40000042AhBAAU","2019-05-02 20:21:25","content_version_data_replaced","S","","","","","","","","","",""
"017f40000DTwYL8AQN","0","068f4000009Ja2YAAS","ContentVersion","005f40000042AhBAAU","2019-05-02 20:21:34","content_version_data_replaced","S","","","","","","","","","",""
"017f40000DTwYLMAQ3","0","068f4000009Ja2YAAS","ContentVersion","005f40000042AhBAAU","2019-05-02 20:21:42","content_version_updated","S","","","","","","","","","",""
"017f40000DTwYNgAQN","0","068f4000009Ja2YAAS","ContentVersion","005f40000042AhBAAU","2019-05-02 20:21:42","content_version_data_replaced","S","","","","","","","","","",""
"017f40000DTwYNhAQN","0","068f4000009Ja2YAAS","ContentVersion","005f40000042AhBAAU","2019-05-02 20:24:08","content_version_updated","S","","","","","","","","","",""
"017f40000DTwYNiAQN","0","068f4000009Ja2YAAS","ContentVersion","005f40000042AhBAAU","2019-05-02 20:24:08","content_version_data_replaced","S","","","","","","","","","",""
"017f40000DTwYaDAQV","0","068f4000009Ja2YAAS","ContentVersion","005f40000042AhBAAU","2019-05-02 20:23:40","content_version_updated","S","","","","","","","","","",""
"017f40000DTwYaEAQV","0","068f4000009Ja2YAAS","ContentVersion","005f40000042AhBAAU","2019-05-02 20:23:40","content_version_data_replaced","S","","","","","","","","","",""
"017f40000DTwYkWAQV","0","068f4000009Ja2YAAS","ContentVersion","005f40000042AhBAAU","2019-05-02 20:23:12","content_version_updated","S","","","","","","","","","",""
"017f40000DTwYkXAQV","0","068f4000009Ja2YAAS","ContentVersion","005f40000042AhBAAU","2019-05-02 20:23:12","content_version_data_replaced","S","","","","","","","","","",""
