"Id","IsDeleted","Name","CreatedDate","CreatedById","LastModifiedDate","LastModifiedById","SystemModstamp","DateStartInterval","IntervalDays","FeedElementId","Parent","ItemCount","NetworkScope"
"0ODf40000018WsmGAE","0","00000027","2019-04-28 13:15:52","005f4000002cd9IAAQ","2019-04-28 13:15:52","005f4000002cd9IAAQ","2019-04-28 13:15:52","2019-04-28 00:00:00","7","0D5f400001XXvFPCA1","001f400000wqOcS","3","I"
"0ODf40000018ZT7GAM","0","00000028","2019-05-05 13:17:59","005f4000002cd9IAAQ","2019-05-05 13:17:59","005f4000002cd9IAAQ","2019-05-05 13:17:59","2019-05-05 00:00:00","7","0D5f400001XXvFPCA1","001f400000wqOcS","6","I"
"0ODf40000018cBWGAY","0","00000029","2019-05-12 13:15:14","005f4000002cd9IAAQ","2019-05-12 13:15:14","005f4000002cd9IAAQ","2019-05-12 13:15:14","2019-05-12 00:00:00","7","0D5f400001ZjEnFCAV","00Tf400001EfGmq","1","I"
"0ODf40000018cBXGAY","0","00000030","2019-05-12 13:15:14","005f4000002cd9IAAQ","2019-05-12 13:15:14","005f4000002cd9IAAQ","2019-05-12 13:15:14","2019-05-12 00:00:00","7","0D5f400001ZlzAaCAJ","00Tf400001EggOP","1","I"
"0ODf40000018cBYGAY","0","00000031","2019-05-12 13:15:14","005f4000002cd9IAAQ","2019-05-12 13:15:14","005f4000002cd9IAAQ","2019-05-12 13:15:14","2019-05-12 00:00:00","7","0D5f400001bQw3WCAS","00Tf400001Ej2NV","1","I"
"0ODf40000018efdGAA","0","00000032","2019-05-19 13:16:18","005f4000002cd9IAAQ","2019-05-19 13:16:18","005f4000002cd9IAAQ","2019-05-19 13:16:18","2019-05-19 00:00:00","7","0D5f400001d0QXOCA2","00Tf400001FyKgZ","2","I"
"0ODf40000018efeGAA","0","00000033","2019-05-19 13:16:18","005f4000002cd9IAAQ","2019-05-19 13:16:18","005f4000002cd9IAAQ","2019-05-19 13:16:18","2019-05-19 00:00:00","7","0D5f400001czLtvCAE","00Tf400001FxeBO","1","I"
"0ODf40000018hGHGAY","0","00000034","2019-05-26 13:16:27","005f4000002cd9IAAQ","2019-05-26 13:16:27","005f4000002cd9IAAQ","2019-05-26 13:16:27","2019-05-26 00:00:00","7","0D5f400001d2Dx3CAE","00Tf400001Fyti3","3","I"
"0ODf40000018hGIGAY","0","00000035","2019-05-26 13:16:27","005f4000002cd9IAAQ","2019-05-26 13:16:27","005f4000002cd9IAAQ","2019-05-26 13:16:27","2019-05-26 00:00:00","7","0D5f400001dr5hbCAA","00Tf400001FzZQu","1","I"
"0ODf40000018hGJGAY","0","00000036","2019-05-26 13:16:27","005f4000002cd9IAAQ","2019-05-26 13:16:27","005f4000002cd9IAAQ","2019-05-26 13:16:27","2019-05-26 00:00:00","7","0D5f400001dr7uqCAA","00Tf400001Fza6T","1","I"
"0ODf40000018hGKGAY","0","00000037","2019-05-26 13:16:27","005f4000002cd9IAAQ","2019-05-26 13:16:27","005f4000002cd9IAAQ","2019-05-26 13:16:27","2019-05-26 00:00:00","7","0D5f400001ds2reCAA","00Tf400001Fzqz2","1","I"
